CLASIFICACION,MEDIDOR
GASOLINERA,52073221
GASOLINERA,52073290
HOSPITAL,52073173
HOSPITAL,52073264
HOSPITAL,58706726
HOTEL,11473864
HOTEL,13892520
HOTEL,52071420
HOTEL,52073259
IGLESIA,11473867
IGLESIA,14758200
IGLESIA,15029835
IGLESIA,35924864
IGLESIA,35924866
IGLESIA,52071447
IGLESIA,52073337
IGLESIA,52073345
IGLESIA,52073352
IGLESIA,58706647
INCUBADORA,52095073
INCUBADORA,11473880
INDUSTRIA DE PLASTICOS,20037219
INGENIO AZUCARERO,35925291
INMOBILARIA,20037209
LABORATORIO-ELIMINAR,28908843
LABORATORIO-ELIMINAR,75482841
LICORERIA,35946543
ENTIDAD PRIVADA,52073378
LUBRICADORA,58706632
MANTENIMIENTO DE VEHICULOS,28006893
ENTIDAD PRIVADA,52071428
MOLINO DE GRANOS,52071453
MOTEL,14059567
MOTEL,35924903
MOTEL,41175719
MOTEL,58706654
OFICINAS,8882399
OFICINAS,14059558
OFICINAS,14059566
OFICINAS,14059568
PALENQUE,35947225
PALETERA,11473877
PALETERA,35925306
PALETERA,35947222
PALETERA,52072453
PANADERIA,35924882
PANADERIA,58706649
PILADORA,8325458
PILADORA,8325459
PILADORA,8325466
PILADORA,9876425
PILADORA,11473865
PILADORA,13892521
PILADORA,15029828
PILADORA,15029829
PILADORA,15029988
PILADORA,15842921
PILADORA,16567750
PILADORA,16567752
PILADORA,16567753
PILADORA,16951216
PILADORA,20037208
PILADORA,20037220
PILADORA,35925308
PILADORA,35925320
PILADORA,35925498
PILADORA,35947187
PILADORA,35947224
PILADORA,35947271
PILADORA,52071438
PILADORA,52071444
PILADORA,52071455
PILADORA,52073288
PILADORA,52073289
PILADORA,52073292
PILADORA,52073304
PILADORA,52073322
PILADORA,52073340
PILADORA,58706694
PILADORA,58706742
PROCESAMIENTO DE FRUTAS,15029974
PROCESAMIENTO DE PLASTICO,11473870
RECICLADORA,52071433
RECICLADORA,52073275
SALON DE EVENTOS,52073359
SECADORA DE MAIZ,11473863
SECADORA DE MAIZ,14059541
SECADORA DE MAIZ,14758033
SECADORA DE MAIZ,14758202
SECADORA DE MAIZ,20037214
SECADORA DE MAIZ,35925294
SECADORA DE MAIZ,35947180
